2024-05-05 18:23:56,759 - DEBUG    6545 --- [bvdk_scraper.py:137] | table done
2024-05-05 18:23:59,979 - DEBUG    6545 --- [bvdk_scraper.py:169] | Brandenburg done - [30 competitions]
2024-05-05 18:23:59,979 - DEBUG    6545 --- [bvdk_scraper.py:124] | Scraping Bremen - 2024
2024-05-05 18:24:01,229 - DEBUG    6545 --- [bvdk_scraper.py:129] | wait for throbber...
2024-05-05 18:24:01,231 - DEBUG    6545 --- [bvdk_scraper.py:132] | continue...
2024-05-05 18:24:02,234 - WARNING  6545 --- [bvdk_scraper.py:139] | No table on page Bremen - 2024
2024-05-05 18:24:02,235 - DEBUG    6545 --- [bvdk_scraper.py:124] | Scraping Hamburg - 2024
2024-05-05 18:24:03,678 - DEBUG    6545 --- [bvdk_scraper.py:129] | wait for throbber...
2024-05-05 18:24:03,681 - DEBUG    6545 --- [bvdk_scraper.py:132] | continue...
2024-05-05 18:24:05,575 - DEBUG    6545 --- [bvdk_scraper.py:137] | table done
2024-05-05 18:24:08,838 - DEBUG    6545 --- [bvdk_scraper.py:169] | Hamburg done - [30 competitions]
2024-05-05 18:24:08,838 - DEBUG    6545 --- [bvdk_scraper.py:124] | Scraping Hessen - 2024
2024-05-05 18:24:10,086 - DEBUG    6545 --- [bvdk_scraper.py:129] | wait for throbber...
2024-05-05 18:24:10,088 - DEBUG    6545 --- [bvdk_scraper.py:132] | continue...
2024-05-05 18:24:11,339 - DEBUG    6545 --- [bvdk_scraper.py:137] | table done
2024-05-05 18:24:12,240 - DEBUG    6545 --- [bvdk_scraper.py:169] | Hessen done - [9 competitions]
2024-05-05 18:24:12,240 - DEBUG    6545 --- [bvdk_scraper.py:124] | Scraping Mecklenburg-Vorpommern - 2024
2024-05-05 18:24:13,691 - DEBUG    6545 --- [bvdk_scraper.py:129] | wait for throbber...
2024-05-05 18:24:14,316 - DEBUG    6545 --- [bvdk_scraper.py:132] | continue...
2024-05-05 18:24:15,320 - WARNING  6545 --- [bvdk_scraper.py:139] | No table on page Mecklenburg-Vorpommern - 2024
2024-05-05 18:24:15,320 - DEBUG    6545 --- [bvdk_scraper.py:124] | Scraping Niedersachsen - 2024
2024-05-05 18:24:16,761 - DEBUG    6545 --- [bvdk_scraper.py:129] | wait for throbber...
2024-05-05 18:25:47,672 - DEBUG    7523 --- [bvdk_scraper.py:105] | Start 2024
2024-05-05 18:25:48,683 - DEBUG    7523 --- [bvdk_scraper.py:116] | wait...
2024-05-05 18:25:48,686 - DEBUG    7523 --- [bvdk_scraper.py:119] | continue...
2024-05-05 18:25:49,687 - DEBUG    7523 --- [bvdk_scraper.py:124] | Scraping Baden-Württemberg - 2024
2024-05-05 18:25:50,717 - DEBUG    7523 --- [bvdk_scraper.py:128] | deselect all
2024-05-05 18:25:51,962 - DEBUG    7523 --- [bvdk_scraper.py:131] | wait for throbber...
2024-05-05 18:25:51,965 - DEBUG    7523 --- [bvdk_scraper.py:134] | continue...
2024-05-05 18:25:53,158 - DEBUG    7523 --- [bvdk_scraper.py:139] | table done
2024-05-05 18:25:53,817 - DEBUG    7523 --- [bvdk_scraper.py:171] | Baden-Württemberg done - [7 competitions]
2024-05-05 18:25:53,817 - DEBUG    7523 --- [bvdk_scraper.py:124] | Scraping Bayern - 2024
2024-05-05 18:25:55,058 - DEBUG    7523 --- [bvdk_scraper.py:128] | deselect all
2024-05-05 18:26:41,131 - DEBUG    8109 --- [bvdk_scraper.py:105] | Start 2024
2024-05-05 18:26:42,141 - DEBUG    8109 --- [bvdk_scraper.py:116] | wait...
2024-05-05 18:26:42,145 - DEBUG    8109 --- [bvdk_scraper.py:119] | continue...
2024-05-05 18:26:43,146 - DEBUG    8109 --- [bvdk_scraper.py:124] | Scraping Baden-Württemberg - 2024
2024-05-05 18:26:43,184 - DEBUG    8109 --- [bvdk_scraper.py:128] | deselect all
2024-05-05 18:26:44,427 - DEBUG    8109 --- [bvdk_scraper.py:131] | wait for throbber...
2024-05-05 18:26:44,430 - DEBUG    8109 --- [bvdk_scraper.py:134] | continue...
2024-05-05 18:26:45,617 - DEBUG    8109 --- [bvdk_scraper.py:139] | table done
2024-05-05 18:26:46,279 - DEBUG    8109 --- [bvdk_scraper.py:171] | Baden-Württemberg done - [7 competitions]
2024-05-05 18:26:46,279 - DEBUG    8109 --- [bvdk_scraper.py:124] | Scraping Bayern - 2024
2024-05-05 18:26:46,515 - DEBUG    8109 --- [bvdk_scraper.py:128] | deselect all
2024-05-05 18:26:47,728 - DEBUG    8109 --- [bvdk_scraper.py:131] | wait for throbber...
2024-05-05 18:26:47,731 - DEBUG    8109 --- [bvdk_scraper.py:134] | continue...
2024-05-05 18:26:49,650 - DEBUG    8109 --- [bvdk_scraper.py:139] | table done
2024-05-05 18:26:52,838 - DEBUG    8109 --- [bvdk_scraper.py:171] | Bayern done - [30 competitions]
2024-05-05 18:26:52,838 - DEBUG    8109 --- [bvdk_scraper.py:124] | Scraping Berlin - 2024
2024-05-05 18:26:52,872 - DEBUG    8109 --- [bvdk_scraper.py:128] | deselect all
2024-05-05 18:26:54,092 - DEBUG    8109 --- [bvdk_scraper.py:131] | wait for throbber...
2024-05-05 18:26:54,094 - DEBUG    8109 --- [bvdk_scraper.py:134] | continue...
2024-05-05 18:26:55,145 - DEBUG    8109 --- [bvdk_scraper.py:139] | table done
2024-05-05 18:26:55,244 - DEBUG    8109 --- [bvdk_scraper.py:171] | Berlin done - [1 competitions]
